service,n1,s1,n2,s2,n3,s3,n4,s4,n5,s5
RTDASH,INVOPT,0.9999998593128289,GEOANL,0.9999997876165053,CHURNP,0.9999997446540816,FINPLAN,0.999999584698104,TRNPIPE,0.9999985586091201
SEARCH,NOTIFY,0.999999999756618,ABTEST,0.9999999996175722,MKTDB,0.9999999993726983,DYNPRC,0.99999999909541,XCHATTR,0.999999998872584
SELENE,YGSCST,0.9999996505384985,YGCHRN,0.9999996040732541,YGCLV,0.9999990333609399,FEATSTR,0.999996635589781,COMPLT,0.9993059929680114
SENTANL,YGCLEB,0.9999999975058851,YGAMRKT,0.9999999959752374,YGSCPA,0.9999999956447094,VIBEFLX,0.9999999464646386,HEALTH,0.9999999424463789
SLSDB,TAXCALC,0.9999999999882231,XCHATTR,0.9999999999509803,DYNPRC,0.9999999999001081,MKTDB,0.9999999998252435,ABTEST,0.9999999995823879
SNAPINT,APIGWY,0.9999999992863867,MULTILNG,0.9999999991066038,SUPTKT,0.9999999983720868,DATARES,0.9999999964015691,TEMPANL,0.9999999961241728
SNWFLK,DBRCKS,0.9999999999700669,AZURE,0.9999999999622053,AWS,0.9999999999270122,HMFRP,0.7071067811844841,AIRFLW,0.7071067801195762
SPARK,JPNXPP,0.9999999307342532,PANDRA,0.9999989822217223,REDIS,0.9999989116942583,JAPNDB,0.99999872724648,POSIDN,0.9999986044164488
SUPCHN,GLOBCMP,0.9999999986409803,BILLING,0.9999999968161862,RISKMG,0.9999999821218892,PAYPROC,0.9999999741323284,AUTOML,0.9999999532220397
SUPTKT,TEMPANL,0.9999999995199698,DATARES,0.999999999428577,MULTILNG,0.999999999383921,JRNYANL,0.9999999991253559,CSSRVS,0.9999999989816262
TAXCALC,SLSDB,0.9999999999882231,XCHATTR,0.999999999956921,DYNPRC,0.9999999999278973,MKTDB,0.9999999998935339,ABTEST,0.9999999996770227
TEMPANL,JRNYANL,0.9999999999404426,CSSRVS,0.9999999998982382,WHLSLP,0.9999999998572109,DATARES,0.9999999997003005,SUPTKT,0.9999999995199698
TRNPIPE,GEOANL,0.999998851256271,RTDASH,0.9999985586091201,INVOPT,0.9999983112414546,CHURNP,0.9999972450839603,FINPLAN,0.9999967453181129
VIBEFLX,HEALTH,0.9999999999272916,SENTANL,0.9999999464646386,YGCLEB,0.9999999208745213,YGAMRKT,0.9999999130958886,YGSCPA,0.9999999115837448
WEBHOOK,PROJMG,0.9999999983119604,QUALITY,0.9999999964356117,RECV2,0.9999999948496211,MOBAPP,0.9999999899702915,CURRCNV,0.9999999840678591
WHLSLP,CSSRVS,0.9999999999955765,JRNYANL,0.9999999999809618,TEMPANL,0.9999999998572109,DEMAND,0.9999999998077006,DATARES,0.9999999993502956
XCHATTR,DYNPRC,0.9999999999871232,TAXCALC,0.999999999956921,SLSDB,0.9999999999509803,MKTDB,0.9999999999173931,ABTEST,0.9999999997867001
YELLOWS,KAFKA,0.9999999985743742,AIRFLW,0.9999999953721767,DDSD,0.9999999942386285,HMFRP,0.9999999889109482,ELASTIC,0.9999997655567712
YGAMRKT,YGSCPA,0.999999999993478,YGCLEB,0.999999999817676,SENTANL,0.9999999959752374,VIBEFLX,0.9999999130958886,HEALTH,0.999999907995884
YGASTORE,JIJOFS,0.9999999635925496,ELASTIC,0.9999999524861537,DDSD,0.9999996080062924,KAFKA,0.9999995588178865,YELLOWS,0.9999995072340925
YGCHRN,YGSCST,0.9999997509525264,YGCLV,0.9999997351404497,SELENE,0.9999996040732541,FEATSTR,0.9999982488485646,COMPLT,0.9992906248234389
YGCLEB,YGAMRKT,0.999999999817676,YGSCPA,0.9999999997421875,SENTANL,0.9999999975058851,VIBEFLX,0.9999999208745213,HEALTH,0.9999999160047905
YGCLV,YGCHRN,0.9999997351404497,SELENE,0.9999990333609399,YGSCST,0.9999989724312219,FEATSTR,0.9999976745105262,COMPLT,0.9992629508681211
YGSCPA,YGAMRKT,0.999999999993478,YGCLEB,0.9999999997421875,SENTANL,0.9999999956447094,VIBEFLX,0.9999999115837448,HEALTH,0.999999906440188
YGSCST,YGCHRN,0.9999997509525264,SELENE,0.9999996505384985,YGCLV,0.9999989724312219,FEATSTR,0.9999983028307461,COMPLT,0.9993169545279368
