time_bucket,consumer_id,supplier_id,summary
2025-04-05 13:00:00,ECOMLP,MCSCBT,"At 2025-04-05 13:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,735 with an average cost of $547 per transaction and a data mean of 11.76. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-06 05:00:00,ECOMLP,MCSCBT,"At 2025-05-06 05:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,424 with an average cost of $606 per transaction and a data mean of 11.81. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-29 23:00:00,MOBAPP,MCSCBT,"At 2025-05-29 23:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,399 with an average cost of $600 per transaction and a data mean of 11.18. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-07 08:00:00,CUSTPRT,MCSCBT,"At 2025-05-07 08:00:00, CUSTPRT showed an anomalous pattern when calling MCSCBT. Total cost was about $2,390 with an average cost of $598 per transaction and a data mean of 10.72. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-26 12:00:00,MOBAPP,MCSCBT,"At 2025-05-26 12:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,390 with an average cost of $598 per transaction and a data mean of 11.51. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-01 14:00:00,ECOMLP,MCSCBT,"At 2025-05-01 14:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,378 with an average cost of $594 per transaction and a data mean of 11.66. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-24 11:00:00,MOBAPP,MCSCBT,"At 2025-05-24 11:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,366 with an average cost of $591 per transaction and a data mean of 12.23. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-04-18 09:00:00,MOBAPP,MCSCBT,"At 2025-04-18 09:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,349 with an average cost of $587 per transaction and a data mean of 12.04. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-26 05:00:00,MOBAPP,MCSCBT,"At 2025-05-26 05:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,349 with an average cost of $587 per transaction and a data mean of 11.32. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-04-17 23:00:00,MOBAPP,MCSCBT,"At 2025-04-17 23:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,349 with an average cost of $587 per transaction and a data mean of 11.62. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
